file,parseTime,initTime,allCount,unknownCount,parseUPTime,initUPTime,allUPCount,unknownUPCount
fase-trainbenchmark-90_6.problem,286,638,1726,597,279,1634,1712,583
fase-trainbenchmark-90_7.problem,173,563,1524,491,175,862,1494,461
fase-trainbenchmark-90_8.problem,397,1275,1923,813,388,2213,1811,701
fase-trainbenchmark-90_9.problem,229,813,1541,547,309,1092,1507,513
fase-trainbenchmark-simple-100_1.problem,274,548,1990,693,386,954,1591,290
fase-trainbenchmark-simple-100_10.problem,165,306,2253,955,166,537,1794,492
fase-trainbenchmark-simple-100_11.problem,146,298,2372,1117,139,484,1764,504
fase-trainbenchmark-simple-100_12.problem,277,602,1825,597,349,1104,1496,264
fase-trainbenchmark-simple-100_13.problem,313,640,1987,629,287,1131,1687,324
fase-trainbenchmark-simple-100_14.problem,290,491,2038,775,281,940,1516,246
fase-trainbenchmark-simple-100_15.problem,181,396,1953,689,267,651,1636,368
fase-trainbenchmark-simple-100_16.problem,109,206,1920,646,118,402,1557,279
fase-trainbenchmark-simple-100_17.problem,256,559,2267,965,281,851,1672,362
fase-trainbenchmark-simple-100_18.problem,263,441,2133,853,275,1066,1584,298
fase-trainbenchmark-simple-100_19.problem,214,499,1776,521,289,1042,1484,226
fase-trainbenchmark-simple-100_2.problem,333,764,2111,773,323,1110,1786,446
fase-trainbenchmark-simple-100_20.problem,187,411,2039,773,297,920,1548,278
fase-trainbenchmark-simple-100_21.problem,306,581,1759,521,265,999,1555,316
fase-trainbenchmark-simple-100_22.problem,182,470,2081,797,189,584,1634,344
fase-trainbenchmark-simple-100_23.problem,302,584,1865,629,225,857,1521,282
fase-trainbenchmark-simple-100_24.problem,239,468,1802,571,285,885,1578,346
fase-trainbenchmark-simple-100_25.problem,175,339,2087,809,217,641,1732,452
fase-trainbenchmark-simple-100_26.problem,360,806,2040,754,296,1173,1682,391
fase-trainbenchmark-simple-100_27.problem,303,560,2334,1038,266,1006,1637,333
fase-trainbenchmark-simple-100_28.problem,182,407,1800,537,191,708,1581,316
fase-trainbenchmark-simple-100_29.problem,178,449,2234,903,204,640,1669,332
fase-trainbenchmark-simple-100_3.problem,130,254,2007,715,128,488,1655,360
fase-trainbenchmark-simple-100_30.problem,165,403,2113,803,175,565,1642,326
fase-trainbenchmark-simple-100_4.problem,247,423,2500,1157,211,1051,1696,340
fase-trainbenchmark-simple-100_5.problem,276,536,1927,651,238,1071,1718,440
fase-trainbenchmark-simple-100_6.problem,204,368,2400,1100,295,863,1654,347
fase-trainbenchmark-simple-100_7.problem,230,561,2142,840,252,836,1614,307
fase-trainbenchmark-simple-100_8.problem,205,463,2009,771,196,703,1563,320
fase-trainbenchmark-simple-100_9.problem,250,420,2238,991,280,1013,1644,392
fase-trainbenchmark-simple-20_1.problem,96,180,451,221,101,338,401,170
fase-trainbenchmark-simple-20_10.problem,201,424,408,161,152,606,370,122
fase-trainbenchmark-simple-20_11.problem,198,287,398,143,209,897,358,102
fase-trainbenchmark-simple-20_12.problem,215,377,319,93,197,808,309,82
fase-trainbenchmark-simple-20_13.problem,148,334,347,111,222,746,344,108
fase-trainbenchmark-simple-20_14.problem,175,334,293,116,170,755,284,107
fase-trainbenchmark-simple-20_15.problem,230,422,349,91,216,859,339,80
fase-trainbenchmark-simple-20_16.problem,85,155,308,95,92,316,293,80
fase-trainbenchmark-simple-20_17.problem,210,412,397,181,151,570,336,118
fase-trainbenchmark-simple-20_18.problem,184,417,357,122,185,822,346,111
fase-trainbenchmark-simple-20_19.problem,147,272,324,112,220,745,315,103
fase-trainbenchmark-simple-20_2.problem,216,348,283,91,244,787,259,66
fase-trainbenchmark-simple-20_20.problem,199,406,345,145,169,792,307,106
fase-trainbenchmark-simple-20_21.problem,150,236,354,115,148,520,337,98
fase-trainbenchmark-simple-20_22.problem,138,322,365,133,121,571,354,122
fase-trainbenchmark-simple-20_23.problem,151,305,294,77,209,736,287,70
fase-trainbenchmark-simple-20_24.problem,222,248,394,143,246,798,350,98
fase-trainbenchmark-simple-20_25.problem,147,301,360,138,149,582,326,103
fase-trainbenchmark-simple-20_26.problem,198,387,344,99,140,564,339,94
fase-trainbenchmark-simple-20_27.problem,148,407,438,173,185,514,363,96
fase-trainbenchmark-simple-20_28.problem,174,344,330,125,193,758,299,92
fase-trainbenchmark-simple-20_29.problem,109,213,326,97,183,605,292,62
fase-trainbenchmark-simple-20_3.problem,185,407,410,157,171,774,324,68
fase-trainbenchmark-simple-20_30.problem,161,271,396,139,258,731,348,90
fase-trainbenchmark-simple-20_4.problem,132,239,335,129,148,489,301,94
fase-trainbenchmark-simple-20_5.problem,128,230,375,161,163,446,322,106
fase-trainbenchmark-simple-20_6.problem,153,354,511,260,149,520,374,119
fase-trainbenchmark-simple-20_7.problem,119,255,386,155,161,494,344,112
fase-trainbenchmark-simple-20_8.problem,115,252,382,155,141,485,366,138
fase-trainbenchmark-simple-20_9.problem,95,172,449,194,97,321,388,131
fase-trainbenchmark-simple-30_1.problem,139,259,456,164,166,629,399,105
fase-trainbenchmark-simple-30_10.problem,129,258,592,283,130,488,448,136
fase-trainbenchmark-simple-30_11.problem,221,391,519,189,210,808,494,164
fase-trainbenchmark-simple-30_12.problem,210,379,468,129,212,809,447,108
fase-trainbenchmark-simple-30_13.problem,247,463,424,127,247,834,405,108
fase-trainbenchmark-simple-30_14.problem,156,223,427,137,208,763,394,104
fase-trainbenchmark-simple-30_15.problem,216,360,533,203,226,776,463,132
fase-trainbenchmark-simple-30_16.problem,83,172,483,166,88,306,425,107
fase-trainbenchmark-simple-30_17.problem,220,444,465,169,258,849,413,116
fase-trainbenchmark-simple-30_18.problem,207,443,602,267,196,798,460,118
fase-trainbenchmark-simple-30_19.problem,133,240,530,223,167,628,428,118
fase-trainbenchmark-simple-30_2.problem,128,199,436,147,113,511,419,130
fase-trainbenchmark-simple-30_20.problem,139,275,452,150,156,520,406,103
fase-trainbenchmark-simple-30_21.problem,155,333,587,267,222,557,480,158
fase-trainbenchmark-simple-30_22.problem,148,316,476,179,131,530,420,122
fase-trainbenchmark-simple-30_23.problem,223,383,511,173,232,1130,474,136
fase-trainbenchmark-simple-30_24.problem,145,291,503,197,170,493,450,142
fase-trainbenchmark-simple-30_25.problem,185,384,454,171,195,736,402,118
fase-trainbenchmark-simple-30_26.problem,104,164,594,241,109,408,461,104
fase-trainbenchmark-simple-30_27.problem,81,162,544,229,95,329,480,164
fase-trainbenchmark-simple-30_28.problem,157,286,460,155,170,623,400,90
fase-trainbenchmark-simple-30_29.problem,113,243,483,149,109,383,455,120
fase-trainbenchmark-simple-30_3.problem,240,392,548,213,212,780,451,114
fase-trainbenchmark-simple-30_30.problem,212,390,553,148,147,888,517,111
fase-trainbenchmark-simple-30_4.problem,148,245,441,144,142,557,414,117
fase-trainbenchmark-simple-30_5.problem,245,321,459,181,210,615,411,132
fase-trainbenchmark-simple-30_6.problem,243,414,552,239,223,942,455,140
fase-trainbenchmark-simple-30_7.problem,145,236,440,161,142,473,427,148
fase-trainbenchmark-simple-30_8.problem,204,380,479,158,148,763,455,133
fase-trainbenchmark-simple-30_9.problem,174,297,497,188,206,668,480,171
fase-trainbenchmark-simple-40_1.problem,125,238,609,203,191,557,558,152
fase-trainbenchmark-simple-40_10.problem,141,238,644,227,129,527,534,114
fase-trainbenchmark-simple-40_11.problem,151,253,744,262,191,525,602,117
fase-trainbenchmark-simple-40_12.problem,210,354,661,199,190,755,575,112
fase-trainbenchmark-simple-40_13.problem,256,427,606,171,245,945,534,98
fase-trainbenchmark-simple-40_14.problem,110,188,648,231,119,421,612,194
fase-trainbenchmark-simple-40_15.problem,89,156,848,388,148,340,612,147
fase-trainbenchmark-simple-40_16.problem,215,378,741,324,216,884,543,121
fase-trainbenchmark-simple-40_17.problem,101,177,627,190,107,362,590,153
fase-trainbenchmark-simple-40_18.problem,235,450,708,263,222,833,591,142
fase-trainbenchmark-simple-40_19.problem,204,325,765,299,193,570,617,148
fase-trainbenchmark-simple-40_2.problem,124,235,660,255,128,520,531,122
fase-trainbenchmark-simple-40_20.problem,154,273,751,314,211,613,580,139
fase-trainbenchmark-simple-40_21.problem,124,206,656,211,189,476,570,124
fase-trainbenchmark-simple-40_22.problem,218,301,700,263,226,956,614,176
fase-trainbenchmark-simple-40_23.problem,143,247,573,159,271,771,532,108
fase-trainbenchmark-simple-40_24.problem,247,433,610,163,264,919,532,84
fase-trainbenchmark-simple-40_25.problem,220,382,706,313,233,737,556,160
fase-trainbenchmark-simple-40_26.problem,166,317,700,231,187,558,614,144
